ref,who,common,scientific,genus,lng,lat,planted,address,city,state,zip,country,neighborhood,health,dbh,height,owner,url,urlimage,status,notes
38,tfo,London plane tree,Platanus x acerifolia 'Columbia',,-122.28809100000,37.80986300000,3/26/2016,1241 14th St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Public,,,,
39,tfo,London plane tree,Platanus x acerifolia 'Columbia',,-122.28822600000,37.80989300000,3/26/2016,1241 14th St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",missing,,,Public,,,,
198,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.18269800000,37.77204800000,11/19/2016,6325 Camden St,Oakland,CA,,,Picardy/Seminary,dead,,,Public,,,,Trauma to trunk
199,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.18262000000,37.77209800000,11/19/2016,6325 Camden St,Oakland,CA,,,Picardy/Seminary,,,,Public,,,,Trauma to trunk
200,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.18255300000,37.77213900000,11/19/2016,6325 Camden St,Oakland,CA,,,Picardy/Seminary,,,,Public,,,,
201,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.18249100000,37.77218100000,11/19/2016,6325 Camden St,Oakland,CA,,,Picardy/Seminary,,,,Public,,,,
202,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.18241200000,37.77223200000,11/19/2016,6325 Camden St,Oakland,CA,,,Picardy/Seminary,,,,Public,,,,
203,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.18235200000,37.77226900000,11/19/2016,6325 Camden St,Oakland,CA,,,Picardy/Seminary,,,,Public,,,,
204,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.18228300000,37.77231400000,11/19/2016,6325 Camden St,Oakland,CA,,,Picardy/Seminary,,,,Public,,,,
205,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.18221700000,37.77235800000,11/19/2016,6325 Camden St,Oakland,CA,,,Picardy/Seminary,,,,Public,,,,
250,tfo,river birch,Betula nigra 'Heritage',,-122.28894700000,37.81833900000,1/28/2017,2431 Peralta St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Private,,,corner,
251,tfo,Saratoga laurel,"Laurus nobilis 'Saratoga' (replace Quercus lobata, valley oak)",,-122.28897900000,37.81844000000,11/20/2019,2431 Peralta St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Private,,,replaced valley oak with Saratoga laurel,
252,tfo,Saratoga laurel,"Laurus nobilis 'Saratoga' (replace Quercus lobata, valley oak)",,-122.28897200000,37.81853600000,11/20/2019,2431 Peralta St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Private,,,replaced valley oak with Saratoga laurel,
253,tfo,Saratoga laurel,"Laurus nobilis 'Saratoga' (replace Quercus lobata, valley oak)",,-122.28896700000,37.81863600000,11/20/2019,2431 Peralta St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Private,,,replaced valley oak with Saratoga laurel,
254,tfo,Australian willow,Geijera parviflora,,-122.28899400000,37.81867100000,1/28/2017,2431 Peralta St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Public,,,Mandela #1 of 8 (southernmost),
255,tfo,Australian willow,Geijera parviflora,,-122.28899200000,37.81874900000,1/28/2017,2431 Peralta St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Public,,,Mandela #2 of 8,
256,tfo,Australian willow,Geijera parviflora,,-122.28898600000,37.81879800000,1/28/2017,2431 Peralta St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Public,,,Mandela #3 of 8,
257,tfo,Australian willow,Geijera parviflora,,-122.28897400000,37.81897000000,1/28/2017,2431 Peralta St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Public,,,Mandela #4 of 8,
258,tfo,Australian willow,Geijera parviflora,,-122.28897200000,37.81902500000,1/28/2017,2431 Peralta St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Public,,,Mandela #5 of 8,
259,tfo,Australian willow,Geijera parviflora,,-122.28896300000,37.81909100000,1/28/2017,2431 Peralta St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Public,,,Mandela #6 of 8,
260,tfo,valley oak,Quercus lobata Valley Oak,,-122.28898100000,37.81914800000,1/28/2017,2431 Peralta St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Public,,,Mandela #7 of 8,
261,tfo,valley oak,Quercus lobata Valley Oak,,-122.28897800000,37.81922700000,2/4/2017,2431 Peralta St,Oakland,CA,,,"West Oakland - excluding parks, Pacific Pipe / American Steel, and condos",,,,Public,,,Mandela #8 of 8 (northernmost),
