lng,lat,common,datevisit,volunteer,watered,staked,braced,weeded,mulched,pruned,comment
-122.272847,37.833090,Acer rubrum ?October Glory? Red maple October glory.,2016-11-29 0:00:00,,,,,,,,"Plant in front yard, left of walkway, 10 feet behind sidewalk. Four feet back from top of embankment. - per ARB notes 11/29/2016"
-122.278069,37.841830,Acer buergerianum,2016-12-12 0:00:00,,,,,,,,emailed care sheet -hhc 12/12/2016
-122.278004,37.841843,Acer buergerianum,2016-12-12 0:00:00,,,,,,,,emailed care sheet -hhc 12/12/2016
-122.285235,37.842276,Lagerstroemia x 'Muskogee',2017-03-27 0:00:00,,,,,,,,
-122.274295,37.840513,Acer rubrum 'October Glory',2017-04-20 0:00:00,DKS,,,,,,,"HHC 12/1/16: Emailed to explain out of grant area.  DKS 4/20/17: Stopped by, marked for USA. Wires overhead are not HV. Sidewalk 6'-6"" wide, could cut to make tree-well 3'-3"" and sidewalk 3'-3"" (with permission from City).  DKS 4/21/17: Emailed to explai"
-122.274749,37.823096,Tilia tomentosa 'Sterling',2017-05-20 0:00:00,DKS,,,,,,,fill missing space.  DKS July 2017: Changed contact from Ali Goldstein (teacher) to Ashley Martin (principal) and Wanda Stewart (new garden teacher).
-122.274586,37.823058,Tilia tomentosa 'Sterling',2017-05-20 0:00:00,DKS,,,,,,,fill missing space.  DKS July 2017: Changed contact from Ali Goldstein (teacher) to Ashley Martin (principal) and Wanda Stewart (new garden teacher).
-122.273016,37.823160,Acer macrophyllum,2017-05-20 0:00:00,DKS,,,,,,,replacement.  DKS July 2017: Changed contact from Ali Goldstein (teacher) to Ashley Martin (principal) and Wanda Stewart (new garden teacher).
-122.272984,37.823069,Sequoia sempervirens 'Aptos Blue',2017-06-20 0:00:00,DKS,,,,,,,replacement.  DKS July 2017: Changed contact from Ali Goldstein (teacher) to Ashley Martin (principal) and Wanda Stewart (new garden teacher).
-122.272969,37.823098,Sequoia sempervirens 'Aptos Blue',2017-06-20 0:00:00,DKS,,,,,,,replacement.  DKS July 2017: Changed contact from Ali Goldstein (teacher) to Ashley Martin (principal) and Wanda Stewart (new garden teacher).
-122.238441,37.791523,tupelo,2018-07-24 11:00:00,DF,yes,yes,yes,no,yes,no,
-122.238364,37.791479,Australian willow,2018-07-24 11:00:00,DF,yes,yes,yes,no,yes,no,madrone needs stake moved to straighten leaning tree. df
-122.238269,37.791422,hybrid madrone,2018-07-24 11:00:00,DF,yes,yes,yes,no,yes,no,
-122.238213,37.791390,New Zealand Christmas tree,2018-07-24 11:00:00,DF,yes,yes,yes,no,yes,no,
-122.235291,37.792337,purple-flowering locust,2018-07-25 11:00:00,DF,yes,yes,yes,no,yes,yes,Lawn
-122.235250,37.792379,purple-flowering locust,2018-07-25 11:00:00,DF,yes,yes,yes,no,yes,yes,"replaced bryesen hose, lawn"
-122.235248,37.792236,Afterburner Tupelo,2018-07-25 11:00:00,DF,yes,yes,yes,no,yes,no,
-122.235193,37.792200,Afterburner Tupelo,2018-07-25 11:00:00,DF,yes,yes,yes,no,yes,no,
-122.226154,37.791524,incense cedar,2018-08-08 11:00:00,DF,,,,,,,
-122.226097,37.791524,incense cedar,2018-08-08 11:00:00,DF,,,,,,,
-122.226091,37.791494,incense cedar,2018-08-08 11:00:00,DF,,,,,,,
-122.226047,37.791553,incense cedar,2018-08-08 11:00:00,DF,,,,,,,
-122.226031,37.791534,incense cedar,2018-08-08 11:00:00,DF,,,,,,,
-122.226013,37.791560,incense cedar,2018-08-08 11:00:00,DF,,,,,,,
-122.224905,37.791066,island oak,2018-08-08 11:00:00,DF,No,no,no,no,yes,no,Needs water
-122.224871,37.791128,island oak,2018-08-08 11:00:00,DF,,,,,,,
-122.224846,37.791182,island oak,2018-08-08 11:00:00,DF,,,,,,,
-122.218023,37.796332,chitalpa,2018-08-08 11:00:00,DF,yes,no,no,no,yes,no,
-122.217888,37.796356,Catalina ironwood,2018-08-08 11:00:00,DF,yes,no,no,no,yes,no,
-122.217862,37.796414,Catalina ironwood,2018-08-08 11:00:00,DF,yes,no,no,no,yes,no,
-122.217818,37.796524,Catalina ironwood,2018-08-08 11:00:00,DF,yes,no,no,no,yes,no,
-122.213629,37.792174,October Glory red maple,2018-08-20 11:00:00,DF,No,no,no,no,yes,no,
-122.194428,37.775334,mimosa,2018-08-20 11:00:00,DF,yes,na,na,no,yes,no,
-122.183980,37.767418,Hachiya persimmon,2018-08-20 11:00:00,DF,No,yes,yes,no,yes,no,Needs water
-122.260155,37.814138,tupelo,2018-08-28 11:00:00,DKS,Yes,Yes,Yes,Yes,,yes,new owner 2018
-122.260155,37.814138,tupelo,2018-09-16 11:00:00,DKS,Yes,Yes,Yes,yes,yes,yes,new owner 2018
-122.184806,37.770123,Box Elder,2018-09-16 11:00:00,DKS,Yes,Yes,no,yes,yes,,bamboo stakes
-122.184708,37.770108,Box Elder,2018-09-16 11:00:00,DKS,Yes,Yes,no,yes,yes,,"trunk guard present 9/16/18; Doug Brooms noted trunk dmg Aug ’18, bamboo stakes"
